_time,_value,_field,srsue_data_id
2025-01-29T20:30:18.210142367Z,20.55,sinr,ue1_uhd
2025-01-29T20:30:18.689673367Z,20.56,sinr,ue1_uhd
2025-01-29T20:30:19.169840367Z,20.58,sinr,ue1_uhd
2025-01-29T20:30:19.650034367Z,20.54,sinr,ue1_uhd
2025-01-29T20:30:20.130322367Z,20.57,sinr,ue1_uhd
2025-01-29T20:30:20.609960367Z,20.45,sinr,ue1_uhd
2025-01-29T20:30:21.090051367Z,20.43,sinr,ue1_uhd
2025-01-29T20:30:21.570511367Z,20.51,sinr,ue1_uhd
2025-01-29T20:30:22.049903367Z,20.62,sinr,ue1_uhd
2025-01-29T20:30:22.529463367Z,20.58,sinr,ue1_uhd
2025-01-29T20:30:23.009569367Z,20.4,sinr,ue1_uhd
2025-01-29T20:30:23.489468367Z,20.48,sinr,ue1_uhd
2025-01-29T20:30:23.968673367Z,20.5,sinr,ue1_uhd
2025-01-29T20:30:24.449305367Z,20.63,sinr,ue1_uhd
2025-01-29T20:30:24.929900367Z,20.49,sinr,ue1_uhd
2025-01-29T20:30:25.410109367Z,20.59,sinr,ue1_uhd
2025-01-29T20:30:25.890027367Z,20.54,sinr,ue1_uhd
2025-01-29T20:30:26.370028367Z,20.56,sinr,ue1_uhd
2025-01-29T20:30:26.849470367Z,20.43,sinr,ue1_uhd
2025-01-29T20:30:27.329173367Z,20.51,sinr,ue1_uhd
2025-01-29T20:30:27.809114367Z,20.55,sinr,ue1_uhd
2025-01-29T20:30:28.289448367Z,20.53,sinr,ue1_uhd
2025-01-29T20:30:28.769378367Z,20.54,sinr,ue1_uhd
2025-01-29T20:30:29.249548367Z,20.39,sinr,ue1_uhd
2025-01-29T20:30:29.729198367Z,20.44,sinr,ue1_uhd
2025-01-29T20:30:30.208634367Z,20.58,sinr,ue1_uhd
2025-01-29T20:30:30.689308367Z,20.57,sinr,ue1_uhd
2025-01-29T20:30:31.169910367Z,20.49,sinr,ue1_uhd
2025-01-29T20:30:31.650305367Z,20.79,sinr,ue1_uhd
2025-01-29T20:30:32.131105367Z,20.43,sinr,ue1_uhd
2025-01-29T20:30:32.612000367Z,20.61,sinr,ue1_uhd
2025-01-29T20:30:33.092703367Z,20.55,sinr,ue1_uhd
2025-01-29T20:30:33.572846367Z,20.49,sinr,ue1_uhd
2025-01-29T20:30:34.053249367Z,20.49,sinr,ue1_uhd
2025-01-29T20:30:34.532803367Z,20.57,sinr,ue1_uhd
2025-01-29T20:30:35.012965367Z,20.56,sinr,ue1_uhd
2025-01-29T20:30:35.492423367Z,20.49,sinr,ue1_uhd
2025-01-29T20:30:35.972609367Z,20.51,sinr,ue1_uhd
2025-01-29T20:30:36.452546367Z,20.53,sinr,ue1_uhd
2025-01-29T20:30:36.932769367Z,20.53,sinr,ue1_uhd
2025-01-29T20:30:37.412016367Z,20.46,sinr,ue1_uhd
2025-01-29T20:30:37.891508367Z,20.52,sinr,ue1_uhd
2025-01-29T20:30:38.370953367Z,20.52,sinr,ue1_uhd
2025-01-29T20:30:38.850678367Z,20.56,sinr,ue1_uhd
2025-01-29T20:30:39.330373367Z,20.46,sinr,ue1_uhd
2025-01-29T20:30:39.811100367Z,20.62,sinr,ue1_uhd
2025-01-29T20:30:40.291763367Z,20.44,sinr,ue1_uhd
2025-01-29T20:30:40.772321367Z,20.5,sinr,ue1_uhd
2025-01-29T20:30:41.251515367Z,20.58,sinr,ue1_uhd
2025-01-29T20:30:41.731774367Z,20.63,sinr,ue1_uhd
2025-01-29T20:30:42.211959367Z,20.56,sinr,ue1_uhd
2025-01-29T20:30:42.691407367Z,20.68,sinr,ue1_uhd
2025-01-29T20:30:43.170696367Z,20.69,sinr,ue1_uhd
2025-01-29T20:30:43.650936367Z,20.69,sinr,ue1_uhd
2025-01-29T20:30:44.130938367Z,20.66,sinr,ue1_uhd
2025-01-29T20:30:44.610667367Z,20.6,sinr,ue1_uhd
2025-01-29T20:30:45.090181367Z,20.57,sinr,ue1_uhd
2025-01-29T20:30:45.570161367Z,20.57,sinr,ue1_uhd
2025-01-29T20:30:46.050689367Z,20.53,sinr,ue1_uhd
2025-01-29T20:30:46.530944367Z,20.62,sinr,ue1_uhd
2025-01-29T20:30:47.010979367Z,20.63,sinr,ue1_uhd
2025-01-29T20:30:47.490654367Z,20.59,sinr,ue1_uhd
2025-01-29T20:30:47.970459367Z,20.53,sinr,ue1_uhd
2025-01-29T20:30:48.450608367Z,20.59,sinr,ue1_uhd
2025-01-29T20:30:48.931149367Z,20.58,sinr,ue1_uhd
2025-01-29T20:30:49.410828367Z,20.54,sinr,ue1_uhd
2025-01-29T20:30:49.891165367Z,20.61,sinr,ue1_uhd
2025-01-29T20:30:50.371523367Z,20.52,sinr,ue1_uhd
2025-01-29T20:30:50.851178367Z,20.7,sinr,ue1_uhd
